"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"caso",0,0,0,1,0,1,0,0,1,0
"do",0,0,0,0,0,0,0,0,0,0
"gari",0,0,0,0,0,0,0,0,0,0
"milionário",0,0,0,0,0,0,0,0,0,0
"coriolano",0,0,0,0,0,0,0,0,0,0
"é",0,0,0,0,0,0,0,0,0,0
"absolvido",0,0,0,0,0,0,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0
"agente",0,0,0,0,0,0,0,0,0,0
"de",0,0,0,0,0,0,0,0,0,0
"limpeza",0,0,0,0,0,0,0,0,0,3
"da",0,0,0,0,0,0,0,0,0,0
"emlur",0,0,0,0,0,0,0,0,0,0
"é",0,0,0,0,0,0,0,0,0,0
"condenado",0,0,0,1,0,1,0,0,2,0
"projeto",0,0,0,0,0,0,0,0,0,0
"das",0,0,0,0,0,0,0,0,0,0
"fake",0,0,0,0,0,0,0,0,0,0
"news",0,0,0,0,0,0,0,0,0,0
"será",0,0,0,0,0,0,0,0,0,0
"votado",0,0,0,0,0,0,0,0,0,0
"nesta",0,0,0,0,0,0,0,0,0,0
"terça",0,0,0,0,0,0,0,0,0,0
"feira",0,0,0,0,0,0,0,0,0,1
"maioria",0,0,0,0,1,0,0,1,0,1
"dos",0,0,0,0,0,0,0,0,0,0
"deputados",0,0,0,0,0,0,0,0,0,0
"paraibanos",0,0,0,0,0,0,0,0,0,0
"é",0,0,0,0,0,0,0,0,0,0
"a",0,0,0,0,0,0,0,0,0,0
"favor",0,0,0,0,0,0,0,0,0,0
"gervásio",0,0,0,0,0,0,0,0,0,0
"maia",0,0,0,0,0,0,0,0,0,0
"será",0,0,0,0,0,0,0,0,0,0
"defensor",0,0,0,0,0,0,0,1,0,1
"do",0,0,0,0,0,0,0,0,0,0
"governo",0,0,0,1,0,0,0,0,1,0
"lula",0,0,0,0,0,0,0,0,0,0
"na",0,0,0,0,0,0,0,0,0,0
"cpi",0,0,0,0,0,0,0,0,0,0
"dos",0,0,0,0,0,0,0,0,0,0
"atos",0,0,0,0,0,0,0,0,0,0
"golpistas",0,0,0,0,0,0,0,0,0,0
